model,lead,fold,test_years,group,n_cells,n_flooded,base_rate,precision,recall,f1,csi,pr_auc,brier,threshold
climatology,1,8,2024-2025,recurring,383832,59993,0.1563001521498989,0.2443651586508729,0.8562332272098412,0.380217836219435,0.2347339319578678,0.3609489695481627,0.1192179436955652,0.005
persistence,3,1,2010-2011,all,59601600,173920,0.0029180424686585,0.146611966762855,0.1454806807727691,0.1460441330108687,0.0787743309381187,0.023822732397889,0.004964531153526,0.5
climatology,3,1,2010-2011,all,59601600,173920,0.0029180424686585,0.0496793209292675,0.1872355105795768,0.0785238556843227,0.040866422368355,0.0295245941797475,0.0030382647754802,0.13
persistence,3,1,2010-2011,unusual,59217768,144266,0.0024361944881137,0.0756867534144663,0.0747508075360791,0.0752158689860086,0.0390775608412691,0.0079117329203277,0.0044780478723885,0.5
climatology,3,1,2010-2011,unusual,59217768,144266,0.0024361944881137,0.0238656309194863,0.095192214381767,0.0381633356305995,0.0194528608439819,0.0046440279669137,0.0026277914906021,0.13
persistence,3,1,2010-2011,recurring,383832,29654,0.077257758602722,0.4823896863370547,0.4895798205975585,0.4859581589958158,0.3209674566678457,0.2756021751012396,0.0800193834802726,0.5
climatology,3,1,2010-2011,recurring,383832,29654,0.077257758602722,0.2352287206135858,0.6350239428070412,0.3432931053341598,0.2072141465937476,0.2379590783685337,0.0663662618005147,0.13
persistence,3,2,2012-2013,all,59601600,188131,0.0031564756650828,0.3130821253847767,0.2935614013639432,0.3030076920544698,0.178555725111864,0.0941386837154267,0.0042629056938068,0.5
climatology,3,2,2012-2013,all,59601600,188131,0.0031564756650828,0.2087482763903784,0.1882996422705455,0.1979973898438657,0.1098763057988635,0.0737022472365924,0.0030907911097743,0.205
persistence,3,2,2012-2013,unusual,59217768,152182,0.002569870583437,0.2721219408784136,0.2572643282385564,0.2644846396784381,0.1523954473266278,0.0719160028731863,0.0036771564912747,0.5
