start_date,end_date,county,phase3plus_population,source_folder
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Lainya,62541.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Lainya,39874.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Lainya,45184.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Lainya,59000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Lainya,54470.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Leer,62130.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Leer,58357.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Leer,55336.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Leer,48000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Leer,42976.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Longochuk,37223.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Longochuk,44753.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Longochuk,28734.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Longochuk,43000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Longochuk,51935.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Luakpiny/nasir,190965.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Luakpiny/nasir,191329.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Luakpiny/nasir,39479.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Luakpiny/nasir,197000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Luakpiny/nasir,230768.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Maban,36756.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Maban,40916.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Maban,133747.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Maban,47000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Maban,53628.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Magwi,52972.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Magwi,53072.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Magwi,21807.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Magwi,69000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Magwi,42397.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Maiwut,92495.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Maiwut,79431.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Maiwut,19712.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Maiwut,62000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Maiwut,50120.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Malakal,107336.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Malakal,127093.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Malakal,38115.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Malakal,140000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Malakal,182923.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Manyo,31573.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Manyo,47449.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Manyo,9930.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Manyo,41000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Manyo,64527.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Maridi,16546.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Maridi,22101.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Maridi,13071.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Maridi,17000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Maridi,17588.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Mayendit,60180.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Mayendit,56748.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Mayendit,43006.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Mayendit,44000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Mayendit,34310.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Mayom,101855.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Mayom,86348.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Mayom,72575.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Mayom,65000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Mayom,87847.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Melut,64928.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Melut,65052.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Melut,42342.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Melut,61000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Melut,72862.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Morobo,52207.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Morobo,34870.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Morobo,19821.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Morobo,66000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Morobo,55498.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Mundri east,40034.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Mundri east,45123.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Mundri east,24057.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Mundri east,31000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Mundri east,21276.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Mundri west,22351.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Mundri west,12440.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Mundri west,15716.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Mundri west,13000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Mundri west,10558.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Mvolo,22562.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Mvolo,37674.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Mvolo,26136.0,raw_data/IPC
